"Date","Open","High","Low","Close"
"Mon Jun 02 2008 00:00:00 GMT+0530 (India Standard Time)","4869.25","4908.80","4021.70","4040.55"
"Tue Jul 01 2008 00:00:00 GMT+0530 (India Standard Time)","4039.75","4539.45","3790.20","4332.95"
"Fri Aug 01 2008 00:00:00 GMT+0530 (India Standard Time)","4331.60","4649.85","4201.85","4360.00"
"Mon Sep 01 2008 00:00:00 GMT+0530 (India Standard Time)","4356.10","4558.00","3715.05","3921.20"
"Wed Oct 01 2008 00:00:00 GMT+0530 (India Standard Time)","3921.85","4000.50","2252.75","2885.60"
"Mon Nov 03 2008 00:00:00 GMT+0530 (India Standard Time)","2885.40","3240.55","2502.90","2755.10"
"Mon Dec 01 2008 00:00:00 GMT+0530 (India Standard Time)","2755.15","3110.45","2570.69","2959.15"
"Thu Jan 01 2009 00:00:00 GMT+0530 (India Standard Time)","2963.30","3147.20","2661.65","2874.80"
"Mon Feb 02 2009 00:00:00 GMT+0530 (India Standard Time)","2872.35","2969.75","2677.55","2763.65"
"Mon Mar 02 2009 00:00:00 GMT+0530 (India Standard Time)","2764.60","3123.35","2539.44","3020.95"
"Wed Apr 01 2009 00:00:00 GMT+0530 (India Standard Time)","3023.85","3517.25","2965.70","3473.95"
"Fri May 01 2009 00:00:00 GMT+0530 (India Standard Time)","3478.70","4509.39","3478.70","4448.95"
"Mon Jun 01 2009 00:00:00 GMT+0530 (India Standard Time)","4450.39","4693.20","4143.25","4291.10"
"Wed Jul 01 2009 00:00:00 GMT+0530 (India Standard Time)","4292.30","4669.75","3918.75","4636.45"
"Mon Aug 03 2009 00:00:00 GMT+0530 (India Standard Time)","4633.80","4743.75","4353.45","4662.10"
"Tue Sep 01 2009 00:00:00 GMT+0530 (India Standard Time)","4662.20","5087.60","4576.60","5083.95"
"Thu Oct 01 2009 00:00:00 GMT+0530 (India Standard Time)","5087.20","5181.95","4687.50","4711.70"
"Mon Nov 02 2009 00:00:00 GMT+0530 (India Standard Time)","4712.25","5138.00","4538.50","5032.70"
"Tue Dec 01 2009 00:00:00 GMT+0530 (India Standard Time)","5039.70","5221.85","4943.95","5201.05"
"Fri Jan 01 2010 00:00:00 GMT+0530 (India Standard Time)","5200.89","5310.85","4766.00","4882.05"
"Mon Feb 01 2010 00:00:00 GMT+0530 (India Standard Time)","4882.05","4992.00","4675.39","4922.30"
"Mon Mar 01 2010 00:00:00 GMT+0530 (India Standard Time)","4935.60","5329.55","4935.35","5249.10"
"Thu Apr 01 2010 00:00:00 GMT+0530 (India Standard Time)","5249.20","5399.65","5160.89","5278.00"
"Mon May 03 2010 00:00:00 GMT+0530 (India Standard Time)","5278.40","5278.70","4786.45","5086.30"
"Tue Jun 01 2010 00:00:00 GMT+0530 (India Standard Time)","5086.25","5366.75","4961.05","5312.50"
"Thu Jul 01 2010 00:00:00 GMT+0530 (India Standard Time)","5312.05","5477.50","5225.60","5367.60"
"Mon Aug 02 2010 00:00:00 GMT+0530 (India Standard Time)","5369.55","5549.80","5348.90","5402.40"
"Wed Sep 01 2010 00:00:00 GMT+0530 (India Standard Time)","5403.05","6073.50","5403.05","6029.95"
"Fri Oct 01 2010 00:00:00 GMT+0530 (India Standard Time)","6030.30","6284.10","5937.10","6017.70"
"Mon Nov 01 2010 00:00:00 GMT+0530 (India Standard Time)","6092.30","6338.50","5690.35","5862.70"
"Wed Dec 01 2010 00:00:00 GMT+0530 (India Standard Time)","5871.00","6147.30","5721.15","6134.50"
"Mon Jan 03 2011 00:00:00 GMT+0530 (India Standard Time)","6177.45","6181.05","5416.65","5505.90"
"Tue Feb 01 2011 00:00:00 GMT+0530 (India Standard Time)","5537.30","5599.25","5177.70","5333.25"
"Tue Mar 01 2011 00:00:00 GMT+0530 (India Standard Time)","5382.00","5872.00","5348.20","5833.75"
"Fri Apr 01 2011 00:00:00 GMT+0530 (India Standard Time)","5835.00","5944.45","5693.25","5749.50"
"Mon May 02 2011 00:00:00 GMT+0530 (India Standard Time)","5766.90","5775.25","5328.70","5560.15"
"Wed Jun 01 2011 00:00:00 GMT+0530 (India Standard Time)","5561.05","5657.90","5195.89","5647.40"
"Fri Jul 01 2011 00:00:00 GMT+0530 (India Standard Time)","5705.75","5740.40","5453.95","5482.00"
"Mon Aug 01 2011 00:00:00 GMT+0530 (India Standard Time)","5527.50","5551.90","4720.00","5001.00"
